additionalrooms,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,carpetarea,facing,floor,locality,neworold,opensides,overlooking,ownership,possesiondate,price,pricepersquare,projectname,roadfaceing,status,totalfloor,property_type,transaction_type
1,3,1,1,873,1,4,4,798,North,1 out of 5,NIBM,Old,1,Main Road,Freehold,2021-03-01,120474,138,"Green, Chase and Rice",Yes,Ready to Move,3,Villa,Sale
1,10,5,2,1241,2,2,2,1205,South,Ground,NIBM,Old,2,Garden,Freehold,2020-03-18,65773,53,Green-Rodriguez,No,Under Construction,9,Row House,Sale
2,8,2,2,1259,0,1,1,1182,South,5 out of 12,Dhomkeel,Old,2,Main Road,Freehold,2021-09-18,62950,50,Webb PLC,Yes,Ready to Move,9,Apartment,Rent
2,8,1,2,1420,0,4,4,1364,West,2 out of 10,Dhomkeel,Old,3,Park,Freehold,2023-07-19,166140,117,Rodriguez PLC,No,Ready to Move,12,Villa,Rent
0,1,4,1,1236,2,1,1,1184,North,2 out of 10,NIBM,New,1,Garden,Leasehold,2021-02-28,123600,100,"Cruz, Clark and Mcguire",No,Under Construction,7,Row House,Rent
0,7,3,0,1690,0,4,4,1639,East,5 out of 12,Viman Nagar,Old,3,Park,Freehold,2023-06-17,251810,149,Camacho Ltd,No,Under Construction,5,Row House,Sale
1,2,5,2,1230,2,2,2,1155,East,1 out of 5,Hadapsar,New,2,Main Road,Leasehold,2023-12-21,135300,110,Blair LLC,Yes,Under Construction,1,Row House,Rent
1,3,3,0,1849,2,1,1,1816,South,2 out of 10,Undri,New,1,Main Road,Leasehold,2023-07-18,122034,66,"Barnett, Ellison and Ellis",No,Under Construction,3,Villa,Sale
1,4,1,1,1778,0,1,1,1752,South,1 out of 5,Alandi,New,1,Main Road,Freehold,2023-12-12,128016,72,"Lewis, Turner and Perez",No,Ready to Move,1,Villa,Sale
2,1,2,1,892,3,3,3,801,South,Ground,Manjari,New,1,Garden,Leasehold,2023-08-20,54412,61,Collins LLC,No,Ready to Move,5,Row House,Rent
0,8,5,2,461,1,4,4,412,East,1 out of 5,Kondhwa,New,2,Garden,Leasehold,2020-10-28,44256,96,Lam Inc,No,Ready to Move,6,Row House,Rent
1,0,3,2,1504,1,1,1,1448,East,2 out of 10,Manjari,New,2,Main Road,Leasehold,2020-04-12,139872,93,"Mckinney, Brown and Miller",Yes,Ready to Move,4,Apartment,Sale
1,3,4,1,489,3,3,3,418,North,Ground,Manjari,New,3,Main Road,Leasehold,2024-12-31,28851,59,Price Inc,No,Ready to Move,3,Apartment,Rent
2,5,3,2,1224,0,4,4,1157,West,2 out of 10,Undri,New,3,Garden,Leasehold,2021-08-27,177480,145,Campbell Inc,Yes,Ready to Move,1,Apartment,Sale
1,10,2,1,601,2,2,2,569,East,2 out of 10,Kondhwa,Old,1,Garden,Leasehold,2024-11-30,70918,118,Johnson-Erickson,No,Ready to Move,3,Row House,Rent
2,10,2,2,1671,0,1,1,1604,South,5 out of 12,Alandi,New,2,Park,Leasehold,2023-11-20,126996,76,Dominguez-Parker,Yes,Under Construction,2,Villa,Sale
0,1,4,1,1010,0,2,2,932,North,5 out of 12,Undri,New,3,Garden,Leasehold,2021-12-02,148470,147,Nguyen Group,No,Under Construction,5,Villa,Sale
2,5,2,0,597,3,3,3,515,East,2 out of 10,Manjari,New,2,Park,Freehold,2021-05-28,56715,95,Thomas LLC,No,Under Construction,12,Villa,Rent
1,6,4,2,1559,1,2,2,1470,North,5 out of 12,Undri,New,2,Park,Freehold,2024-10-18,138751,89,Hill Ltd,Yes,Ready to Move,6,Row House,Sale
2,1,5,2,1867,3,1,1,1827,South,Ground,Dhomkeel,Old,1,Garden,Leasehold,2020-01-26,227774,122,Pearson PLC,No,Under Construction,3,Villa,Rent
2,5,5,0,1493,3,1,1,1408,South,2 out of 10,Manjari,New,1,Park,Leasehold,2021-04-01,209020,140,Perez Group,Yes,Under Construction,7,Villa,Sale
2,2,2,2,1628,2,1,1,1588,South,5 out of 12,Viman Nagar,New,1,Garden,Freehold,2020-09-15,117216,72,Houston Ltd,No,Under Construction,4,Villa,Sale
1,1,2,2,1664,0,3,3,1603,West,Ground,Wagholi,Old,1,Main Road,Freehold,2020-03-30,158080,95,"Garner, Davila and Rogers",Yes,Under Construction,5,Apartment,Rent
1,4,5,0,1835,3,1,1,1759,West,1 out of 5,Wagholi,New,3,Main Road,Leasehold,2024-10-29,106430,58,"Smith, Gonzalez and Smith",Yes,Under Construction,11,Row House,Sale
0,0,1,0,1552,1,3,3,1456,North,1 out of 5,Magarpatta,Old,2,Main Road,Freehold,2021-02-07,85360,55,Davenport Inc,No,Ready to Move,3,Villa,Sale
1,1,2,1,649,3,2,2,579,East,5 out of 12,NIBM,Old,2,Main Road,Freehold,2022-09-07,40887,63,Perez Ltd,Yes,Ready to Move,1,Apartment,Sale
2,0,1,2,1323,3,1,1,1271,North,2 out of 10,Kondhwa,Old,1,Garden,Leasehold,2024-11-15,72765,55,Wilcox-Davis,Yes,Ready to Move,2,Apartment,Sale
1,4,1,0,1326,0,2,2,1256,North,Ground,Magarpatta,New,2,Garden,Freehold,2022-01-03,167076,126,White Group,Yes,Under Construction,5,Villa,Sale
1,1,2,0,1138,0,1,1,1047,East,5 out of 12,Bhekrai Nagar,Old,2,Park,Leasehold,2023-10-24,133146,117,"Johnson, Gonzales and Ochoa",No,Under Construction,10,Villa,Rent
0,10,2,1,860,0,2,2,763,South,5 out of 12,Dhomkeel,New,1,Garden,Freehold,2021-11-08,110940,129,"Smith, Stephens and Mitchell",No,Ready to Move,8,Row House,Sale
1,6,5,1,548,2,4,4,511,South,5 out of 12,Bhekrai Nagar,New,1,Park,Leasehold,2021-01-27,38908,71,Levine and Sons,No,Under Construction,7,Row House,Rent
2,10,4,1,1959,2,3,3,1937,East,5 out of 12,Undri,Old,2,Park,Leasehold,2021-11-15,184146,94,Rice-Pham,No,Under Construction,8,Apartment,Rent
2,4,5,0,468,0,4,4,414,West,Ground,Manjari,New,2,Park,Leasehold,2022-05-09,69732,149,Maynard LLC,No,Ready to Move,11,Villa,Sale
2,2,3,1,836,0,3,3,778,West,5 out of 12,Dhomkeel,Old,1,Main Road,Leasehold,2022-11-09,41800,50,Baker-Fox,Yes,Ready to Move,10,Villa,Sale
1,6,2,2,1253,1,1,1,1231,East,5 out of 12,Wagholi,New,3,Main Road,Leasehold,2024-04-15,149107,119,Carter PLC,Yes,Ready to Move,4,Row House,Rent
0,0,1,2,1145,3,1,1,1052,North,5 out of 12,Alandi,Old,1,Garden,Freehold,2024-11-23,64120,56,Combs-Cruz,No,Under Construction,10,Apartment,Sale
1,10,1,0,1175,2,2,2,1112,North,2 out of 10,Viman Nagar,New,2,Main Road,Leasehold,2023-02-21,119850,102,Miller-Ramirez,No,Ready to Move,11,Row House,Rent
1,1,4,2,1949,0,2,2,1882,North,2 out of 10,Kondhwa,New,2,Park,Freehold,2025-01-21,159818,82,Huber Group,Yes,Under Construction,7,Row House,Sale
0,1,2,0,1051,2,3,3,1004,South,Ground,Kondhwa,Old,3,Main Road,Leasehold,2023-09-08,59907,57,Anderson-Conner,Yes,Ready to Move,7,Villa,Sale
0,8,1,1,1262,0,4,4,1204,East,5 out of 12,Alandi,New,3,Garden,Freehold,2023-05-01,122414,97,Knight-Mcclain,No,Ready to Move,12,Row House,Sale
2,2,3,2,1379,3,3,3,1352,South,2 out of 10,Wagholi,New,2,Main Road,Freehold,2022-04-06,131005,95,Ramirez-Miranda,No,Ready to Move,2,Apartment,Sale
1,9,5,0,1448,3,2,2,1414,North,Ground,Wagholi,Old,3,Park,Freehold,2023-01-03,92672,64,Wood-Rowe,No,Under Construction,5,Villa,Rent
1,9,1,1,1307,1,3,3,1287,North,Ground,Viman Nagar,New,3,Main Road,Leasehold,2021-04-08,159454,122,Wood-Morrison,Yes,Ready to Move,2,Apartment,Sale
0,8,4,0,462,0,1,1,366,West,5 out of 12,Alandi,New,2,Park,Freehold,2024-01-10,59136,128,Stewart PLC,No,Under Construction,9,Apartment,Sale
2,4,3,2,1314,3,1,1,1239,West,2 out of 10,Hadapsar,Old,1,Main Road,Freehold,2021-04-10,135342,103,"Mcdonald, Carroll and Parker",Yes,Ready to Move,6,Row House,Rent
0,4,4,0,1012,0,2,2,952,North,Ground,Wagholi,New,3,Park,Freehold,2022-09-27,110308,109,Lucero-Booker,Yes,Ready to Move,10,Apartment,Sale
0,2,1,2,562,0,3,3,508,West,2 out of 10,Magarpatta,Old,2,Main Road,Freehold,2023-03-06,51142,91,Davis-Wilson,No,Ready to Move,10,Villa,Sale
1,8,4,1,1551,1,4,4,1500,South,5 out of 12,Wagholi,New,2,Garden,Leasehold,2020-05-25,217140,140,King LLC,No,Ready to Move,1,Villa,Sale
0,1,1,0,1329,3,2,2,1290,South,1 out of 5,Undri,Old,2,Garden,Leasehold,2024-07-26,143532,108,"Neal, Williams and Hernandez",Yes,Under Construction,6,Apartment,Rent
2,8,5,2,1644,2,1,1,1599,West,1 out of 5,Bhekrai Nagar,Old,2,Park,Leasehold,2022-07-21,243312,148,"Wilkinson, Haynes and Kaufman",No,Ready to Move,3,Villa,Rent
0,7,1,2,1881,1,2,2,1832,West,1 out of 5,Dhomkeel,New,1,Park,Freehold,2024-10-31,221958,118,Mcpherson-Brown,No,Ready to Move,9,Apartment,Sale
1,2,4,0,1027,0,1,1,1007,North,1 out of 5,Hadapsar,Old,2,Main Road,Freehold,2022-04-02,128375,125,Jimenez and Sons,Yes,Under Construction,7,Row House,Sale
0,5,3,2,491,2,4,4,411,North,2 out of 10,Kondhwa,New,1,Main Road,Freehold,2024-07-08,39280,80,Evans-Rivera,Yes,Ready to Move,12,Villa,Rent
1,4,4,2,688,3,3,3,643,North,2 out of 10,Kharadi,Old,1,Garden,Freehold,2023-12-11,37840,55,Pineda LLC,No,Under Construction,7,Apartment,Rent
1,9,4,1,1685,3,4,4,1649,East,5 out of 12,Manjari,New,2,Garden,Leasehold,2024-12-06,227475,135,"Nichols, Mendoza and Brown",Yes,Ready to Move,10,Villa,Rent
0,7,1,0,1627,3,1,1,1546,North,1 out of 5,Dhomkeel,Old,2,Park,Freehold,2023-10-10,154565,95,"Davis, Wilson and Ramirez",Yes,Ready to Move,2,Row House,Rent
0,5,2,0,1548,1,2,2,1506,West,1 out of 5,Undri,Old,2,Park,Freehold,2020-08-17,199692,129,Wright Ltd,No,Ready to Move,8,Apartment,Sale
0,9,1,1,1047,3,3,3,1021,East,Ground,Alandi,Old,1,Main Road,Freehold,2020-05-24,68055,65,"Miller, Vang and Lopez",Yes,Under Construction,3,Row House,Rent
0,0,4,0,1175,0,4,4,1086,West,2 out of 10,Alandi,New,3,Garden,Leasehold,2025-01-08,165675,141,"Nguyen, Ford and Dillon",No,Under Construction,7,Villa,Rent
2,8,3,2,1100,3,3,3,1016,North,Ground,Kondhwa,New,3,Park,Freehold,2024-03-12,108900,99,Hernandez Inc,No,Under Construction,9,Apartment,Sale
1,2,2,0,1986,2,1,1,1951,North,1 out of 5,Alandi,New,1,Garden,Freehold,2020-06-22,228390,115,"Richardson, Lewis and Lozano",Yes,Under Construction,12,Row House,Sale
0,7,3,0,1598,3,4,4,1578,North,5 out of 12,Magarpatta,New,3,Garden,Freehold,2024-10-11,166192,104,Hunt and Sons,Yes,Under Construction,11,Villa,Rent
2,6,4,1,1577,3,4,4,1491,South,Ground,Hadapsar,New,3,Garden,Leasehold,2022-02-02,118275,75,"Cox, Hernandez and Taylor",No,Under Construction,6,Apartment,Sale
1,2,4,1,582,3,3,3,501,South,5 out of 12,Kondhwa,Old,3,Park,Freehold,2023-07-29,47724,82,"Keller, Fernandez and Le",Yes,Ready to Move,8,Villa,Sale
2,10,3,1,1470,2,3,3,1374,North,1 out of 5,Kharadi,New,2,Park,Freehold,2021-09-05,99960,68,"Hill, Grant and Gardner",Yes,Under Construction,5,Villa,Sale
2,7,1,0,1955,3,4,4,1882,North,5 out of 12,Wagholi,Old,2,Park,Leasehold,2021-03-22,289340,148,Santos Inc,No,Ready to Move,11,Row House,Rent
1,0,3,1,824,0,1,1,747,West,1 out of 5,Kharadi,New,2,Park,Freehold,2024-07-03,110416,134,"Irwin, Ortega and Webb",Yes,Under Construction,3,Villa,Sale
2,8,3,2,922,1,3,3,868,East,1 out of 5,Wagholi,New,1,Garden,Freehold,2021-04-27,115250,125,Cantu-Merritt,No,Ready to Move,1,Villa,Rent
0,3,3,1,1487,1,3,3,1398,South,Ground,NIBM,New,2,Park,Leasehold,2024-06-14,211154,142,Collier LLC,Yes,Ready to Move,3,Apartment,Rent
2,7,1,1,1198,3,2,2,1163,East,1 out of 5,Viman Nagar,New,1,Park,Freehold,2023-08-05,165324,138,"Perez, Davis and Soto",No,Ready to Move,4,Row House,Sale
2,6,4,1,893,0,3,3,828,South,2 out of 10,Bhekrai Nagar,New,2,Park,Freehold,2021-11-26,59831,67,Lara-Juarez,Yes,Ready to Move,5,Apartment,Sale
0,0,3,0,1256,1,1,1,1206,West,Ground,Alandi,Old,3,Garden,Leasehold,2022-11-17,144440,115,Clark-Bryant,No,Ready to Move,6,Villa,Rent
2,5,3,0,1178,3,1,1,1126,East,1 out of 5,Alandi,New,3,Garden,Leasehold,2024-02-22,116622,99,Smith Group,Yes,Ready to Move,6,Villa,Rent
0,0,2,2,1167,0,4,4,1140,West,1 out of 5,Dhomkeel,New,1,Garden,Leasehold,2024-04-10,122535,105,Munoz-Hughes,No,Under Construction,5,Apartment,Rent
1,2,1,2,1711,1,1,1,1622,West,2 out of 10,Magarpatta,New,2,Main Road,Freehold,2020-01-10,172811,101,Bright Inc,No,Under Construction,4,Row House,Sale
1,1,3,2,663,2,3,3,632,North,1 out of 5,Alandi,New,3,Garden,Leasehold,2021-12-30,72930,110,"Ramos, Sparks and Bruce",Yes,Under Construction,6,Apartment,Rent
2,8,3,0,1320,3,2,2,1221,North,Ground,Bhekrai Nagar,Old,1,Park,Leasehold,2025-01-22,171600,130,"Farmer, Mccormick and Hoffman",No,Under Construction,6,Villa,Sale
0,6,4,0,740,1,3,3,659,South,1 out of 5,Wagholi,New,2,Main Road,Freehold,2024-03-04,77700,105,Horton and Sons,No,Under Construction,2,Row House,Rent
2,8,1,0,1456,2,1,1,1386,East,2 out of 10,Hadapsar,New,1,Park,Freehold,2023-08-25,106288,73,Woods Inc,Yes,Under Construction,10,Row House,Rent
2,4,2,2,1361,3,2,2,1280,North,1 out of 5,Kharadi,New,1,Park,Freehold,2021-10-05,178291,131,Shaffer-Lopez,Yes,Ready to Move,9,Villa,Rent
2,2,1,1,954,2,3,3,924,West,1 out of 5,Manjari,Old,1,Main Road,Leasehold,2020-06-10,125928,132,George-Morse,No,Ready to Move,4,Row House,Sale
0,8,4,0,677,0,3,3,642,West,5 out of 12,Undri,New,3,Garden,Freehold,2021-08-18,35881,53,Owens PLC,Yes,Ready to Move,11,Apartment,Sale
0,5,5,0,704,3,1,1,680,South,1 out of 5,Wagholi,New,1,Garden,Freehold,2024-05-04,48576,69,Wright Ltd,Yes,Under Construction,6,Villa,Rent
2,2,5,0,531,3,1,1,485,North,Ground,Alandi,New,3,Garden,Freehold,2023-03-17,43542,82,"Tanner, Torres and Castro",Yes,Under Construction,6,Villa,Sale
1,9,1,2,1837,1,4,4,1753,West,2 out of 10,Magarpatta,New,3,Garden,Leasehold,2023-06-30,196559,107,"Garner, Fleming and Ballard",No,Ready to Move,6,Villa,Rent
1,3,4,0,1699,1,3,3,1655,East,5 out of 12,NIBM,Old,3,Park,Leasehold,2022-07-09,84950,50,"Wong, Drake and Taylor",No,Under Construction,12,Apartment,Rent
2,6,5,2,728,0,1,1,707,East,Ground,Dhomkeel,Old,2,Park,Freehold,2024-04-06,104832,144,"Todd, Smith and Baker",Yes,Under Construction,10,Row House,Rent
1,7,3,0,580,1,4,4,551,West,5 out of 12,Magarpatta,New,1,Garden,Freehold,2022-07-01,29580,51,Soto-Bailey,No,Ready to Move,3,Row House,Sale
2,4,1,2,1064,3,4,4,1013,South,2 out of 10,Bhekrai Nagar,Old,2,Park,Freehold,2021-05-17,101080,95,Johnston-Johnson,No,Ready to Move,8,Apartment,Sale
0,3,5,1,1074,3,4,4,1042,West,1 out of 5,Hadapsar,New,2,Main Road,Leasehold,2020-01-30,86994,81,Baker Ltd,No,Ready to Move,3,Row House,Sale
2,0,2,2,1435,1,4,4,1352,North,5 out of 12,Hadapsar,Old,1,Garden,Freehold,2020-01-17,210945,147,Marquez LLC,Yes,Ready to Move,8,Villa,Rent
1,5,5,1,782,2,4,4,732,West,5 out of 12,Wagholi,New,1,Park,Leasehold,2025-02-02,69598,89,"Chavez, Duncan and Palmer",Yes,Ready to Move,2,Villa,Sale
2,7,4,0,1721,1,4,4,1655,East,1 out of 5,Dhomkeel,New,2,Main Road,Leasehold,2025-01-23,201357,117,Price PLC,Yes,Under Construction,1,Villa,Rent
2,9,1,1,1457,0,1,1,1363,West,Ground,Kharadi,Old,2,Park,Leasehold,2020-05-25,136958,94,Rodriguez-Johnson,No,Ready to Move,12,Villa,Sale
0,0,5,1,1206,2,1,1,1118,West,1 out of 5,Kondhwa,Old,2,Main Road,Freehold,2022-09-27,73566,61,Garcia Inc,Yes,Ready to Move,8,Apartment,Rent
0,7,2,2,1347,3,2,2,1260,South,1 out of 5,Dhomkeel,Old,1,Main Road,Freehold,2023-09-18,71391,53,"Lawson, Lopez and Young",Yes,Under Construction,12,Apartment,Rent
0,2,1,1,1892,1,3,3,1831,North,1 out of 5,Hadapsar,New,3,Park,Freehold,2020-05-21,107844,57,Smith-Lewis,No,Ready to Move,12,Row House,Sale
0,10,5,2,740,3,2,2,644,West,5 out of 12,Undri,New,2,Garden,Freehold,2022-10-26,42920,58,Olson Ltd,No,Ready to Move,5,Row House,Rent
2,6,1,1,1246,1,4,4,1215,East,Ground,Bhekrai Nagar,New,1,Garden,Leasehold,2024-08-10,168210,135,Hill and Sons,Yes,Under Construction,2,Row House,Sale
1,1,1,1,1784,2,2,2,1724,South,1 out of 5,Undri,New,2,Garden,Leasehold,2021-10-24,90984,51,Bowman LLC,Yes,Ready to Move,2,Apartment,Sale
0,7,2,2,1207,0,2,2,1153,West,2 out of 10,Manjari,Old,1,Garden,Freehold,2021-11-02,107423,89,Reynolds-Vasquez,No,Under Construction,4,Row House,Rent
1,3,1,1,1863,0,3,3,1796,North,Ground,Alandi,Old,2,Garden,Leasehold,2023-11-11,275724,148,"Thomas, Murphy and Waller",No,Under Construction,1,Row House,Sale
1,6,2,2,1002,2,3,3,925,North,1 out of 5,Manjari,New,3,Main Road,Freehold,2020-06-17,67134,67,Martin-Williams,No,Under Construction,3,Villa,Rent
2,3,2,1,1333,0,1,1,1283,East,Ground,Alandi,New,1,Park,Leasehold,2023-10-03,129301,97,Lopez Inc,Yes,Ready to Move,1,Row House,Sale
2,6,1,1,1092,3,3,3,1008,West,5 out of 12,Manjari,New,1,Park,Leasehold,2024-11-18,75348,69,Griffin-Watkins,Yes,Ready to Move,12,Row House,Sale
2,3,4,0,455,0,4,4,417,West,Ground,Bhekrai Nagar,New,3,Garden,Leasehold,2024-03-04,66885,147,Obrien-Dixon,Yes,Under Construction,12,Apartment,Sale
2,7,2,0,1870,3,4,4,1804,East,5 out of 12,Bhekrai Nagar,Old,2,Main Road,Leasehold,2024-08-27,230010,123,"Maxwell, Carter and Stewart",No,Under Construction,7,Apartment,Sale
0,1,3,0,1733,2,3,3,1657,North,1 out of 5,Hadapsar,New,3,Park,Leasehold,2022-11-20,126509,73,Wiggins-Rivera,No,Ready to Move,4,Apartment,Rent
2,5,4,2,1322,0,2,2,1281,South,1 out of 5,Viman Nagar,Old,3,Garden,Leasehold,2024-08-06,144098,109,Miller LLC,No,Ready to Move,3,Row House,Sale
0,6,3,0,909,1,3,3,829,West,5 out of 12,NIBM,Old,3,Garden,Leasehold,2022-10-09,53631,59,Webster LLC,No,Under Construction,12,Row House,Rent
0,3,4,1,1114,1,4,4,1024,South,1 out of 5,Undri,Old,1,Garden,Freehold,2020-12-03,133680,120,"Riley, Krueger and Mcdonald",No,Ready to Move,4,Villa,Rent
2,4,2,1,1228,0,3,3,1192,North,5 out of 12,Viman Nagar,Old,1,Garden,Leasehold,2021-10-30,144904,118,Harrell-Beck,No,Ready to Move,1,Row House,Rent
0,2,5,1,1372,2,4,4,1279,South,Ground,Manjari,Old,1,Main Road,Freehold,2024-12-01,153664,112,French and Sons,Yes,Ready to Move,6,Apartment,Rent
0,1,1,2,1520,3,1,1,1499,South,5 out of 12,Viman Nagar,Old,2,Park,Freehold,2023-02-03,76000,50,Dyer-Yang,No,Ready to Move,4,Apartment,Sale
2,2,4,1,1670,0,1,1,1624,East,5 out of 12,Dhomkeel,Old,3,Garden,Freehold,2020-12-10,205410,123,"Nelson, Beltran and Schmidt",No,Ready to Move,2,Apartment,Sale
0,10,4,1,1001,1,3,3,918,East,1 out of 5,Alandi,New,2,Garden,Leasehold,2022-10-19,138138,138,Hall-Summers,Yes,Under Construction,9,Villa,Rent
0,8,1,2,798,1,2,2,707,North,2 out of 10,Wagholi,Old,2,Park,Freehold,2025-01-09,92568,116,"Gomez, Shea and Fitzgerald",No,Ready to Move,10,Apartment,Rent
0,3,4,2,1002,3,4,4,952,West,2 out of 10,Magarpatta,New,3,Main Road,Freehold,2022-03-08,76152,76,"Bush, Castillo and Brown",No,Under Construction,4,Villa,Sale
2,8,5,1,1216,0,4,4,1187,West,5 out of 12,Viman Nagar,Old,2,Park,Leasehold,2020-02-18,109440,90,Day-Estrada,Yes,Under Construction,6,Apartment,Rent
2,9,3,1,670,1,4,4,632,West,1 out of 5,Wagholi,Old,2,Garden,Freehold,2021-06-10,56280,84,Nicholson and Sons,No,Ready to Move,12,Row House,Sale
2,8,5,2,1071,0,4,4,981,West,Ground,Wagholi,Old,1,Park,Leasehold,2020-10-23,160650,150,"Brown, Butler and Mueller",Yes,Ready to Move,8,Apartment,Rent
0,4,5,2,1044,3,4,4,961,East,Ground,Viman Nagar,New,3,Park,Freehold,2021-11-16,156600,150,Mason and Sons,No,Under Construction,7,Apartment,Rent
2,10,1,2,1088,0,3,3,1043,North,2 out of 10,Manjari,New,3,Main Road,Leasehold,2020-06-15,110976,102,Clarke-Norman,No,Under Construction,12,Row House,Rent
0,9,3,2,466,0,3,3,419,North,2 out of 10,Alandi,New,2,Garden,Leasehold,2023-10-17,47998,103,Snyder-Olson,Yes,Ready to Move,3,Villa,Sale
0,5,1,0,722,0,2,2,638,South,2 out of 10,Wagholi,Old,2,Park,Leasehold,2020-06-20,93138,129,Davies-Day,Yes,Under Construction,2,Villa,Sale
0,0,3,1,1922,3,1,1,1832,East,Ground,Magarpatta,New,1,Main Road,Leasehold,2023-04-07,211420,110,Stewart Ltd,No,Under Construction,5,Villa,Sale
1,0,3,1,1490,3,3,3,1417,North,Ground,Manjari,New,3,Garden,Leasehold,2025-04-05,153470,103,"Hall, Williams and Ayers",No,Under Construction,8,Apartment,Sale
0,4,1,2,1206,3,3,3,1136,North,2 out of 10,Undri,New,2,Park,Leasehold,2021-07-03,118188,98,Evans Group,No,Under Construction,6,Apartment,Rent
2,6,2,0,940,0,1,1,846,East,2 out of 10,Alandi,New,3,Main Road,Leasehold,2022-09-02,73320,78,Nguyen-Salas,Yes,Ready to Move,12,Apartment,Sale
0,10,1,2,738,2,4,4,708,West,Ground,Bhekrai Nagar,New,3,Garden,Leasehold,2020-02-21,37638,51,"James, Bullock and Osborne",Yes,Under Construction,4,Row House,Sale
1,0,5,1,621,1,1,1,558,North,2 out of 10,NIBM,New,3,Park,Leasehold,2021-10-10,63963,103,Wilson Ltd,No,Under Construction,1,Villa,Rent
1,7,2,2,1829,1,1,1,1776,South,1 out of 5,NIBM,New,3,Garden,Freehold,2021-11-10,122543,67,Stewart-Lewis,No,Ready to Move,4,Apartment,Sale
1,6,3,2,456,0,4,4,423,East,5 out of 12,Hadapsar,New,1,Park,Leasehold,2023-12-16,38304,84,Mcintosh and Sons,Yes,Ready to Move,1,Villa,Rent
0,7,3,1,1997,0,1,1,1909,West,2 out of 10,Viman Nagar,Old,3,Main Road,Freehold,2024-07-31,183724,92,"Jackson, Price and Navarro",No,Under Construction,3,Row House,Rent
0,5,2,0,1860,1,1,1,1833,North,5 out of 12,Kondhwa,Old,1,Garden,Leasehold,2022-12-22,143220,77,Cruz Group,No,Ready to Move,7,Villa,Sale
2,4,2,2,1556,0,2,2,1482,West,1 out of 5,Dhomkeel,New,1,Main Road,Leasehold,2020-12-28,231844,149,Herrera-Combs,Yes,Under Construction,6,Row House,Rent
2,7,5,0,535,0,2,2,437,South,5 out of 12,Wagholi,New,2,Garden,Freehold,2020-11-11,64200,120,Marshall Inc,Yes,Under Construction,1,Row House,Sale
1,10,4,0,1402,2,2,2,1307,West,5 out of 12,Wagholi,New,1,Garden,Leasehold,2020-07-12,203290,145,Foster-Johnson,Yes,Ready to Move,11,Villa,Sale
2,6,5,0,1676,0,1,1,1599,West,2 out of 10,Viman Nagar,Old,2,Main Road,Freehold,2025-01-12,202796,121,Perez-Morgan,No,Ready to Move,4,Row House,Rent
1,9,4,0,1468,3,2,2,1444,South,Ground,Hadapsar,New,2,Park,Freehold,2021-12-02,170288,116,Dodson LLC,No,Under Construction,7,Villa,Sale
1,5,4,0,1359,1,2,2,1265,West,2 out of 10,Kharadi,Old,1,Park,Freehold,2023-03-26,187542,138,Smith and Sons,No,Ready to Move,12,Apartment,Rent
1,8,4,2,1589,1,4,4,1569,South,5 out of 12,Wagholi,Old,3,Main Road,Leasehold,2023-01-17,100107,63,"Walker, Morales and Fields",Yes,Ready to Move,10,Row House,Rent
1,5,5,1,979,2,1,1,900,South,1 out of 5,Dhomkeel,New,3,Main Road,Leasehold,2022-11-01,58740,60,Watson Inc,No,Under Construction,1,Row House,Rent
2,3,1,1,1866,2,3,3,1834,East,2 out of 10,Viman Nagar,New,1,Main Road,Freehold,2021-09-27,272436,146,"Smith, Blair and Davis",Yes,Ready to Move,8,Row House,Sale
2,8,1,2,1247,2,2,2,1166,North,2 out of 10,Hadapsar,Old,1,Garden,Leasehold,2020-01-31,88537,71,Wiggins Ltd,Yes,Ready to Move,3,Villa,Sale
0,4,1,1,778,2,3,3,726,East,Ground,Bhekrai Nagar,New,3,Main Road,Freehold,2022-08-19,50570,65,Colon Inc,Yes,Ready to Move,1,Row House,Sale
0,7,3,1,946,3,3,3,921,North,5 out of 12,Magarpatta,Old,3,Main Road,Freehold,2022-05-22,77572,82,James-Wise,No,Under Construction,2,Apartment,Rent
0,8,2,2,1439,1,2,2,1402,East,1 out of 5,Undri,New,3,Main Road,Freehold,2023-03-03,119437,83,Johnson and Sons,No,Ready to Move,3,Apartment,Rent
2,1,4,2,1560,2,2,2,1510,North,5 out of 12,NIBM,New,1,Main Road,Leasehold,2024-11-29,87360,56,Bender-Wilson,Yes,Under Construction,7,Row House,Sale
0,8,4,0,1441,0,4,4,1420,West,5 out of 12,Dhomkeel,New,2,Park,Leasehold,2022-11-05,165715,115,Barnett-Roberts,No,Under Construction,8,Apartment,Rent
0,2,4,0,462,0,3,3,405,East,5 out of 12,NIBM,Old,3,Main Road,Leasehold,2020-08-18,62370,135,Henry Ltd,No,Under Construction,2,Apartment,Sale
2,2,2,0,1893,0,1,1,1853,West,Ground,Hadapsar,New,1,Park,Freehold,2021-10-10,191193,101,"Shaw, Aguirre and Silva",Yes,Ready to Move,5,Apartment,Rent
2,1,3,1,710,0,4,4,670,South,2 out of 10,Wagholi,New,1,Main Road,Leasehold,2020-09-16,38340,54,Kelly Inc,No,Under Construction,10,Row House,Sale
